tname;tdate;ttext;tgeo
В Петрович;2016-07-25 20:42:07;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Денис Шурша;2016-07-25 19:55:14;Университет ИТМО вошел в десятку лучших исследовательских вузов России #Лайк;None
Исак Чайкин;2016-07-25 19:39:36;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Матвей Пестов;2016-07-25 19:39:35;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Ростислав Лагодин;2016-07-25 19:39:34;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Игнатий Костин;2016-07-25 19:39:33;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Зиновий Оношкин;2016-07-25 19:19:54;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
it-mobile;2016-07-25 19:12:02;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/cBFtpfXPBX;None
Фома Туробеев;2016-07-25 18:38:07;Университет ИТМО вошел в десятку лучших исследовательских вузов России: Как отмечают эксперты, заметно активизировались в плане…;None
Ираида;2016-07-25 18:17:19;RT @peterburgkrasiv: Университет ИТМО приглашает абитуриентов на магистерскую программу по урбанистике. /  / До 15 августа магистратур.. ht…;None
Скрипач Ненужин;2016-07-25 18:14:41;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/cuyqOoPnTw https://t.co/ROKF2winIN;None
Трифон Пахарев;2016-07-25 17:48:03;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/tahBK2fgx4;None
Красивый Петербург;2016-07-25 17:46:52;Университет ИТМО приглашает абитуриентов на магистерскую программу по урбанистике. /  / До 15 августа магистратур.. https://t.co/cGk5U9hel6;None
Татьяна;2016-07-25 17:39:37;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Юлия Епифанова;2016-07-25 17:36:37;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Коля Фермов;2016-07-25 17:36:34;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Ян Арменчу;2016-07-25 17:34:23;Как поступить в ИТМО (Санкт-Петербург)?;None
В поиске ориентиров;2016-07-25 17:30:17;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Антон Андрусян;2016-07-25 17:29:47;Стоит ли поступать в СПбГУ ИТМО?;None
Terensava;2016-07-25 17:10:48;Университет ИТМО вошел в десятку лучших исследовательских вузов России #GO;None
Кира Смирнова;2016-07-25 17:10:19;#973 Университет ИТМО вошел в десятку лучших исследовательских вузов России #lv;None
Aleksa Kuz;2016-07-25 17:08:10;Университет ИТМО вошел в десятку лучших исследовательских вузов России #ukam;None
Juli Feda;2016-07-25 17:05:13;Университет ИТМО вошел в десятку лучших исследовательских вузов России #se;None
Shalunov Fedia;2016-07-25 17:01:38;Университет ИТМО вошел в десятку лучших исследовательских вузов России: Как отмечают эксперты, заметно… https://t.co/UuAv2eA9mo;None
Outhediter;2016-07-25 17:01:00;#38 Университет ИТМО вошел в десятку лучших исследовательских вузов России #ker;None
Hediesin;2016-07-25 17:00:26;#84 Университет ИТМО вошел в десятку лучших исследовательских вузов России #ke;None
Macfenit;2016-07-25 16:57:14;#96 Университет ИТМО вошел в десятку лучших исследовательских вузов России #ke;None
Lost Found;2016-07-25 16:55:51;#nau Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Meufos;2016-07-25 16:54:55;#56 Университет ИТМО вошел в десятку лучших исследовательских вузов России #EG;None
Brian Sweeney;2016-07-25 16:54:33;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Kardinava;2016-07-25 16:54:25;#no Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
berezkalife;2016-07-25 16:06:12;В Петербурге за выборами проследит ректор ИТМО - Власть - Новости Санкт-Петербурга - Фонтанка.Ру https://t.co/jU8nv5Fq9d через @Fontanka_spb;None
Фонтанка. Новости;2016-07-25 16:00:20;В Петербурге за выборами проследит ректор ИТМО https://t.co/ljih7eWU4c;None
Образование Калмыкии;2016-07-25 14:19:40;RT @openeduRU: Курсы Университета ИТМО @spbifmo на Национальной платформе: https://t.co/AzxCxXBa3b. https://t.co/1wm7qeAeQ2;None
Университет ИТМО;2016-07-25 13:56:40;#ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/wGlNn0aGYI;None
ALÖNA;2016-07-25 11:28:55;Нет, ИТМО, оригиналы я вам не принесу https://t.co/accPMwrbqA;None
Университет ИТМО;2016-07-25 11:04:22;#ИТМО и "Лекториум" открыли регистрацию на первый в России онлайн-курс по научной коммуникации https://t.co/cWFItnYEvP;None
pr;2016-07-25 10:17:35;По идее я прохожу во все уники куда подала заявления в итмо только надо приоритет поменять;None
Наум Вельховой;2016-07-25 09:57:45;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?;None
