tname;tdate;ttext;tgeo
Дмитрий Рогозин;2016-07-31 06:04:18;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Yes, we can!;2016-07-31 06:02:32;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Карина Еналдиева;2016-07-31 06:01:31;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Вероника;2016-07-31 06:00:49;В СПбГУ создали программу для исследования текстов на любом языке;None
Диссернет;2016-07-31 06:00:46;Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Порфирий Сивцов;2016-07-31 06:00:27;В СПбГУ создали программу для исследования текстов на любом языке;None
Новости науки;2016-07-31 05:01:09;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках — Новости науки https://t.co/QJKbdpxbzb;None
Юлия Епифанова;2016-07-31 03:38:27;В СПбГУ создали программу для исследования текстов на любом языке;None
Аполлон Редькин;2016-07-31 03:38:18;В СПбГУ создали программу для исследования текстов на любом языке;None
Зоя Монастырская;2016-07-31 03:20:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/V2Tbqr1Lay;None
Николай Мушкет;2016-07-31 02:40:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/lKXwyVpBMp;None
Никита Траут;2016-07-31 02:16:47;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках;None
Исак Чайкин;2016-07-31 01:40:07;В СПбГУ создали программу для исследования текстов на любом языке;None
Андрей К;2016-07-31 01:40:07;В СПбГУ создали программу для исследования текстов на любом языке;None
Серж Сызранцев;2016-07-31 01:40:06;В СПбГУ создали программу для исследования текстов на любом языке;None
Антонина Кремнева;2016-07-31 01:40:04;В СПбГУ создали программу для исследования текстов на любом языке;None
НЕ! Никонов † ;);2016-07-31 01:00:05;В СПбГУ создали программу для исследования текстов на любом языке;None
Виктория П;2016-07-31 00:39:06;«Молодые математики матмеха СПбГУ Андрей Бояров и Александр Сенов разработали программу, позволяющую анализировать рукопись по кусочкам 80…;None
Зоя Монастырская;2016-07-30 23:56:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/oBD8dXSWQP;None
Маричка Хортенко;2016-07-30 23:38:05;В СПбГУ создали программу для исследования текстов на любом языке;None
Володя Хайкин;2016-07-30 23:38:05;В СПбГУ создали программу для исследования текстов на любом языке;None
Августин Вишнев;2016-07-30 23:38:03;В СПбГУ создали программу для исследования текстов на любом языке;None
Коля Фермов;2016-07-30 23:38:03;В СПбГУ создали программу для исследования текстов на любом языке;None
Ростислав Лагодин;2016-07-30 23:38:03;В СПбГУ создали программу для исследования текстов на любом языке;None
Яков Гнилозубов;2016-07-30 22:36:47;В СПбГУ создали программу для исследования текстов на любом языке;None
Матвей Пестов;2016-07-30 22:36:45;В СПбГУ создали программу для исследования текстов на любом языке;None
