tdate;ttext;tgeo
2016-07-22 15:19:55;Привет #ИТМО! У нас новый редактор! Ждем фоточки еды.;None
2016-07-22 15:14:30;В понедельник надо сходить в ИТМО и в Политех;None
2016-07-22 14:45:12;Курсы Университета ИТМО @spbifmo на Национальной платформе: https://t.co/AzxCxXBa3b. https://t.co/1wm7qeAeQ2;None
2016-07-22 14:33:10;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?;None
2016-07-22 11:46:13;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?;None
2016-07-22 10:18:54;Российские экзоскелеты: как вывести на рынок высокотехнологичный стартап https://t.co/1xkTwiazP8 #ИТМО;None
2016-07-22 07:47:56;И вот тут я охуел от стипендии. Это мага ИТМО. 945-ое делает из образования способ заработать нихрена не делая. https://t.co/Y8YqP4OuaV;None
2016-07-22 06:35:00;Лол, я таким наркоманом получился на фотке в итмо Ужс хд;None
2016-07-22 05:55:14;реально ли поступить на бюджет в ИТМО;None
2016-07-21 18:07:07;@parsley_v нет, она даже не из итмо;None
2016-07-21 17:01:14;Если мне не предоставят возможность апелляции, то в следующую пятницу мои подлинники едут в ИТМО. Привет, повышенная стипендия и норм общага;None
2016-07-21 14:20:03;@mychemicalfox ой, черт, я честно не запомнила  а в ИТМО передумала?;None
2016-07-21 13:52:11;Аспирант #ИТМО разрабатывает безопасную сеть для передачи гостайн https://t.co/OylwDQOTg6;None
2016-07-21 13:26:15;Минутка юмора от ИТМО https://t.co/EG9mxFSJaN;None
2016-07-21 12:14:49;Дайджест #ИТМО: резиденты наших стартап-акселераторов https://t.co/1E9ZtjjGjb;None
2016-07-21 10:26:13;Ректор #ИТМО в Сириусе! https://t.co/G9kVUGRQkF;None
2016-07-21 09:29:48;Что нужно делать сейчас,чтобы стать профессионалом будущего?Ректор #ИТМО отвечает на вопросы школьников в "Сириусе"! https://t.co/0EYztL71lR;None
2016-07-21 08:37:51;Из ИТМО забирают оригиналы, ура;None
2016-07-21 08:24:34;Нет ничего лучше на работе, чем выбирать фильтры для фотки. #итмо #работа #карьера https://t.co/b5WQ9yQNuz;None
2016-07-21 08:03:41;@rgrus: Кто и как будет программировать нашу жизнь в будущем. Интервью с ректором #ИТМО Владимиром Васильевым https://t.co/dYVJGzQZ71;None
2016-07-21 07:20:02;В ИТМО разработали новый способ передачи энергии на расстояние без проводов.  https://t.co/OS8vTsv5hv https://t.co/TReTXCLfXK;None
2016-07-20 21:52:20;Жду завтра обновлённый список в ИТМО. Обещали, что мы сможем понять по нему все наши шансы;None
2016-07-20 12:58:34;Аларм! Инфа для тех, кто спрашивали меня есть ли у нас вакансии! PR-команда Университета ИТМО ищет единомыш.. https://t.co/OKE3H6V5I4;None
2016-07-20 12:01:45;Боже, что я опять забыла в ИТМО ?!;None
2016-07-20 12:00:39;Сейчас ещё из ИТМО звонили... В У З ы  п р е к р а т и т е  Я ГОД планировала свою стратегию поступления, я знаю, что когда куда и как везти;None
2016-07-20 11:58:59;@channelone_rus: взрослые разработки одаренных детей представлены в центре «Сириус» в Сочи https://t.co/qtJ9JUSIhz  #ИТМО;None
2016-07-20 10:56:45;Я поймала своих Покемонов #itmo #итмо https://t.co/ITu1boOmNJ;None
2016-07-20 10:44:42;Раз 260 по их мнению "скользкая ситуация", то я пойду в ИТМО и буду красиво жить на повышенную стипендию. На платное всё равно денег нет))0);None
2016-07-20 10:13:10;Редактор Financial Times: в России много хороших идей для бизнеса, но недостаточно развита инфраструктура https://t.co/aZ5wI9y4QN #ИТМО;None
2016-07-20 07:38:51;Рейтинг QS BRICS-2016: #ИТМО становится более международным https://t.co/fFHkzeayZY;None
2016-07-20 07:32:37;18 августа 2011 года СПбГУНиПТ вошёл в состав Университета ИТМО;None
2016-07-20 07:32:25;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?;None
2016-07-20 05:49:34;@vlastooow горный,итмо,политех;None
2016-07-19 20:34:17;"Абитуриент ИТМО 2016 - Горничная!" https://t.co/lfDzN82ppv;None
2016-07-19 20:16:09;#ИТМО #vkfest 📳 @ Парк 300-летия Санкт-Петербурга https://t.co/0CYZgurkHW;59.98174,30.20999
2016-07-19 20:15:31;Ученые ИТМО провели социальный эксперимент на фестивале ВКонтакте https://t.co/4JMEmuN7UJ #ponedelnikmag;None
2016-07-19 20:05:26;Как поступить в ИТМО (Санкт-Петербург)?;None
2016-07-19 14:19:57;@MetroRussia: эксперт из #ИТМО рассказал о причинах, которые влияют на популярность новой игры #PokemonGO https://t.co/bpITBoQdkb;None
2016-07-19 12:22:00;Позвонили из ИТМО!1!!1 теперь можно и расслабиться;None
2016-07-19 12:07:58;Петербург vs Новая Зеландия: почему иранский студент выбрал Северную столицу https://t.co/7H0MXRfOF5 #ИТМО;None
