tdate;ttext;tgeo
2016-07-31 06:02:32;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:01:31;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:00:49;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 06:00:46;Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
2016-07-31 06:00:27;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 05:01:09;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках — Новости науки https://t.co/QJKbdpxbzb;None
2016-07-31 03:38:27;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 03:38:18;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 03:20:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/V2Tbqr1Lay;None
2016-07-31 02:40:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/lKXwyVpBMp;None
2016-07-31 02:16:47;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках;None
2016-07-31 01:40:07;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 01:40:07;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 01:40:06;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 01:40:04;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 01:00:05;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-31 00:39:06;«Молодые математики матмеха СПбГУ Андрей Бояров и Александр Сенов разработали программу, позволяющую анализировать рукопись по кусочкам 80…;None
2016-07-30 23:56:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/oBD8dXSWQP;None
2016-07-30 23:38:05;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 23:38:05;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 23:38:03;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 23:38:03;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 23:38:03;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 22:36:47;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 22:36:45;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 22:36:44;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 21:58:29;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 21:34:54;В СПбГУ создали программу для исследования текстов на любом языке #se;None
2016-07-30 21:33:55;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 21:33:55;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 21:31:46;#38 В СПбГУ создали программу для исследования текстов на любом языке #ker;None
2016-07-30 21:30:46;#84 В СПбГУ создали программу для исследования текстов на любом языке #ke;None
2016-07-30 21:28:43;#96 В СПбГУ создали программу для исследования текстов на любом языке #ke;None
2016-07-30 21:28:15;#nau В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 21:26:51;#56 В СПбГУ создали программу для исследования текстов на любом языке #EG;None
2016-07-30 21:26:26;В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 21:25:04;#no В СПбГУ создали программу для исследования текстов на любом языке;None
2016-07-30 21:24:57;В СПбГУ создали программу для исследования текстов на любом языке #GO;None
2016-07-30 21:24:39;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/tgPH3BnORu https://t.co/ROKF2winIN;None
2016-07-30 21:24:36;#973 В СПбГУ создали программу для исследования текстов на любом языке #lv;None
2016-07-30 21:24:21;В один момент твердо решила переложить оригинал в спбгу, но единственный знакомый оттуда сбежал 😟;None
2016-07-30 21:24:09;В СПбГУ создали программу для исследования текстов на любом языке: «Молодые математики матмеха СПбГУ Андрей Бояров… https://t.co/sxSsRs9Ngf;None
2016-07-30 21:22:27;В СПбГУ создали программу для исследования текстов на любом языке #ukam;None
2016-07-30 21:22:19;@banderfootball В МГИМО, МГУ и СПбГУ дают прекрасное образование, а стажировка в Европе и США просто необязательный бонус);None
2016-07-30 20:28:17;Закон Времени – Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/ewbJYEMt3o;None
2016-07-30 20:24:30;ТАСС: Наука - Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/kFp5vqFHZE;None
2016-07-30 20:24:21;ТАСС: Наука - Математики СПбГУ разработали уникальную методику исследования текстов на любых… https://t.co/eG1tTyAfp5;None
2016-07-30 20:24:19;ТАСС: Наука - Математики СПбГУ разработали уникальную методику исследования текстов на любых… https://t.co/cczIdoqOCu;None
2016-07-30 17:48:09;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках - https://t.co/nXd30yfUt2 https://t.co/B0i2qCRWgl;None
2016-07-30 17:22:52;@mydarlingrex ну не обязательно в спбгу;None
2016-07-30 17:21:52;@im_georri Да бляяя, там была пара вузов всего, из которых в СПБГУ проходной балл на международные на 10+ выше того, что есть у меня.;None
2016-07-30 16:55:42;Горжусь этой крошкой😘 студентка СПбГУ едрит Мадрид😮)))  Жги, Настюха)))  #vsco #edit #instadaily… https://t.co/ybjZLsd9Mp;59.97145718,30.09656893
2016-07-30 16:50:19;RT @tabyretka__89: @KOKC_HA_XAPPE там гимназия при СПбГУ бесплатно;None
2016-07-30 16:50:07;@KOKC_HA_XAPPE там гимназия при СПбГУ бесплатно;None
2016-07-30 15:38:35;Ой, сегодня ровно год, как я подала свой оригинал в СПбГУ.;None
2016-07-30 15:38:06;@Gendzi_T я просто ору с коммента и спбгу здесь вообще не при чем)));None
2016-07-30 15:37:23;@followFSWL кто там был против срача ИТМО и СПбГУ ?)));None
2016-07-30 14:41:05;#zakonvremeni Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: https://t.co/AYAjhFnB60;None
2016-07-30 14:41:03;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/NMCJrbsHsG https://t.co/ZSXDKl13NL;None
2016-07-30 14:36:48;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/A4WwGmOmQz;None
2016-07-30 14:29:30;просто берите и идите в спбгу, умные друзья )));None
2016-07-30 14:09:15;В СПбГУ создали программу для исследования текстов на любом языке   #СПбГУ      https://t.co/XljuZbGnnu https://t.co/iS131vOdPc;None
2016-07-30 14:02:39;Спбгу хочет меня, уже 3 раз за неделю звонят;None
2016-07-30 13:58:50;@NastNastella в этом году иногородних больше, квоты больше, мест меньше в прошлом году с моими баллами я бы поступила на матмех спбгу;None
2016-07-30 13:28:28;#наука Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с ... https://t.co/avSqslp9nt;None
2016-07-30 13:01:32;короче если очень оптимистично считать что они его из спбгу не заберут то осталось 12 человек конкурентов  :);None
2016-07-30 12:57:49;так где та моя суперсхема с теми кто подал оригинал в спбгу;None
2016-07-30 12:50:39;типа это хороший вуз, но он средней престижности нахуя портить людям со средними баллами шансы если ты можешь поступить в спбгу??;None
2016-07-30 12:45:09;Друзья, с 8 августа в СПбГУ стартует международная молодежная школа "Различные аспекты математической физики&ampq.. https://t.co/1w3nd2suS7;None
2016-07-30 11:52:31;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 11:34:58;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках;None
2016-07-30 11:11:30;СПбГУ слоупоки;None
2016-07-30 10:38:19;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/ChIemGhCgF https://t.co/Pr8L8hz5JT;None
2016-07-30 10:13:44;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 09:51:49;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В… https://t.co/b27aOrOdVv;None
2016-07-30 09:35:20;@bessmalera итид, в спбгу совсем немного до бюджета не хватило;None
2016-07-30 09:33:08;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 09:30:41;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с помощью этого метода можно, в…;None
2016-07-30 09:24:51;Математики СПбГУ разработали уникальную... https://t.co/sm0RSmvLKy https://t.co/jiYoCDSSGT;None
2016-07-30 09:17:09;#наука Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с ... https://t.co/YbyX9DNbg3;None
2016-07-30 09:14:41;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках - https://t.co/aYj8KPPTWI;None
2016-07-30 09:11:16;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с помощью этого метода можно, в…;None
2016-07-30 09:10:18;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках;None
2016-07-30 09:08:10;Когда-то я яро настроена была поступать в спбгу. Лол ору;None
2016-07-30 09:07:32;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках #VigorNews https://t.co/brQvd9qanU;None
2016-07-30 09:04:14;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/e5CPtivx3F https://t.co/EhIJvQ9jzX;None
2016-07-30 09:03:16;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/uGkWdWxEVj;None
2016-07-30 09:03:12;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с помощью... https://t.co/PGewpseF6M;None
2016-07-30 09:03:11;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках;None
2016-07-30 09:03:11;#autofollow Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: В частности, с помо...  #followback RT;None
2016-07-30 09:02:58;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/vELOdMOT9Y;None
2016-07-30 08:22:24;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 08:19:17;@MariKilkenni @twidade_lucks а потом иди в тот же самый СПБГУ,плати бешеные деньги,и учись вместе с теми,кому эта учёба нигде не упала;None
2016-07-30 08:15:30;@7auroraborealis а бля. В СПбГУ нужна литра(;None
2016-07-30 08:12:27;@7auroraborealis у нас в гуапе есть но там вроде только платка. И в спбгу есть математическая прикладная и экспериментальная лингвистика;None
2016-07-30 08:06:28;@salazarpond @twidade_lucks два года выслушивала нытье преподавателей с журфака СПбГУ о том, что уже ко второму курсу остается два-три;None
2016-07-30 07:30:28;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 07:24:53;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 07:07:13;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 06:52:17;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 06:39:53;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 05:59:21;1-о числа закончится первая волна в СпбГУ, а 3-го - в ЛГУ, так что я возможно даже успею сориентироваться и сбежать в первую волну ЛГУ;None
2016-07-30 05:58:30;пока со списками всё хорошо, на вечерку в СпбГУ очень вероятно попадаю во вторую волну, а в ЛГУ могу даже в первую попасть, но не пойду;None
2016-07-30 05:47:11;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 05:10:04;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 05:02:29;RT @Dissernet: Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3Kl…;None
2016-07-30 05:00:53;Киуру Константин Валерьевич, доктор филологических наук из СПбГУ @spb_university  https://t.co/4dMcMGYABM https://t.co/Sk3KlOVr78;None
2016-07-30 03:28:05;https://t.co/ZjWIpGnXIX #цепочкатвитерских количество поданных заявлений спбгу;None
2016-07-30 00:36:58;@KBarieva В СПбГУ чтоль, если в Спб?;None
2016-07-29 23:46:00;В мфти норм все, терпимо, в спбгу просто божественно, лэти-сосет в плане общаг как грязная объебанная шлюха на парковке;None
2016-07-29 19:58:28;в спбгу такое херовое покрытие на полу, что я боюсь ходить там на шпильках - проломлю нахер всё каблуками;None
2016-07-29 18:59:27;Еще хотел сказать, что поступил в СПбГУ;None
2016-07-29 18:59:22;@thfrfthdrk в СПбГУ в том году первые в списках были 304, 300, 297, 294 и тому подобное ));None
2016-07-29 18:58:17;Студент СПбГУ achievement ✔ https://t.co/03dR21FpF6;None
2016-07-29 18:22:36;Вот ходит кто-то весь год по впискам, а ты зубришь, как Гермиона.  И вот они на бюджете в СПбГУ, а ты иди-ка нах*й;None
2016-07-29 18:11:48;@twhiiddleston нет, хотела в спбгу, но экзамены накладывались. я разговаривала со студентами там и они мне сказали, мол, я пройду, но вот хз;None
2016-07-29 17:57:26;но короче такая тема 9 человек из тех что выше меня в списке отдали оригинал в спбгу;None
2016-07-29 17:43:19;В спбгу появились списки, и я там выделена очень красивым зеленым цветом, то бишь, на лингвистику по бюджету прохожу;None
2016-07-29 17:38:10;я тут такие списки потенциальных соперников на бюджет пилю, сравниваю со списками в спбгу, отмечаю кто принес туда оригинал;None
2016-07-29 16:41:29;СПбГУ — среди 100 самых активно развивающихся научно-исследовательских организаций мира, по версии Nature https://t.co/s9lZ3BOHIW;None
2016-07-29 16:15:46;тебе будут целовать ноги, если ты станешь студентом СПБГУ. так что делай правильный выбор, друг;None
2016-07-29 15:39:07;@MadeInChinaOo я уже успела подумать, что это в СПбГУ выложили :D;None
2016-07-29 15:25:28;СПбГУ - единственный вуз России, вошедший в топ–100 "восходящих звезд" мировой науки: https://t.co/I9QtZj8ubz https://t.co/m2EXLG8BNQ;None
2016-07-29 15:23:19;Правда, в Top 100 institutions – единственный российский вуз, СПбГУ, 91 позиция https://t.co/YfHujTAskg #Nature Index 2016 Rising Stars;None
2016-07-29 15:06:16;@Rory_Weasley в СПбГУ хорошие, особенно если не засраны предыдущими жильцами.;None
2016-07-29 14:52:36;@blurry__face__ куда поступила? СПбГУ?;None
2016-07-29 14:15:55;@chukonick2 шавермафак СПбГУ?;None
2016-07-29 14:04:56;@polyubomunelzya даже очень хорошие. Но жаль не попробовать общажной жизни, тем более, что в СПбГУ общаги хорошие.;None
2016-07-29 13:15:02;УРААААА Я ПОСТУПИЛААА СПБГУ БЮДЖЕЕЕТ Куда и хотела, по первому приоритету😍😍😍😍😍😍😍😍😍😍😍😍😍;None
2016-07-29 13:12:42;когда зашел посмотреть баллы  поступающих в СПбГУ: https://t.co/QPt3yk97Uv;None
2016-07-29 13:07:49;ИТАК, ГОСПОДА, ПРОДАМ ДВА БЮДЖЕТНЫХ МЕСТА В СПБГУ. СОЦИАЛЬНАЯ РАБОТА, РЕКЛАМА И СВЯЗИ С ОБЩЕСТВЕННОСТЬЮ - ОБА НА ДНЕВНОЕ.;None
2016-07-29 12:48:13;Прошел на все факультеты, на которые закидывал доки в СПБГУ. Теперь мне нужно собственной рукой подписать отказ, а я не могу;None
2016-07-29 12:44:02;В #СПбГУ продолжается прием документов на программы магистратуры. /  / К 2016/17 учебному году наш Университет ув.. https://t.co/uLkhDBLAbO;None
2016-07-29 11:50:10;@Heaven_Time да, СПбГУ;None
2016-07-29 11:47:51;Я тут думаю уже в СПБГУ на жур.фак поступать .... #безысходность;None
2016-07-29 11:40:57;Корда двадцатая в кубике и двухсотая в СПБГУ https://t.co/nIPdTQAVvH;None
2016-07-29 08:49:40;@__DragMeDown__ о вау Надо бы Надо бы посмотреть Есть ли в СПБГУ колледж у менеджменту;None
2016-07-29 08:47:36;Уйти с бюджета СПбГУ, отказаться от целевого в Первый мед,  чтобы пойти в ветеринарку.  У-успех.;None
2016-07-29 07:08:08;Дворец Бобринских, ныне факультет свободных искусств и наук СПбГУ. Солнечное место. https://t.co/kLD5zSYb7t;None
2016-07-29 06:42:16;Приснилось,как поступила в СПбГУ....с четверга на пятницу🤔🤔🤔🤓🤓🤓🤓🤓;None
2016-07-29 05:52:32;RT @spb_university: Доцент #СПбГУ Владислав Архипов комментирует юридические аспекты нашумевшей игры Pokemon Go: https://t.co/9vzGfiUW2H ht…;None
2016-07-29 05:41:04;RT @spb_university: Известны самые востребованные образовательные программы среди абитуриентов СПбГУ этого года: https://t.co/z9FZdpoTAb ht…;None
2016-07-29 05:02:08;Известны самые востребованные образовательные программы среди абитуриентов СПбГУ этого года: https://t.co/z9FZdpoTAb https://t.co/QlxjoDuFvX;None
2016-07-28 21:24:03;Только что узнала про ВШМ СПбГУ. Мда, надо было таки математику ботать.;None
2016-07-28 20:09:29;@kathefinessssss обязательно 💜💙 Всего два года, няш. А потом СПБГУ);None
2016-07-28 17:56:24;В ЛГУ оч хороший шанс, но блииин в СпбГУ так хочется Хочу доказать себе и всем Не знаю что, но хочу доказать;None
2016-07-28 17:40:24;Катись к ебеням,поступление сраное!😤 или как объяснить маме,что я не хочу учиться на юридическом даже в СПбГУ 😩;None
2016-07-28 17:19:51;- куда прошла? - никуда - ясно. а спбгу? - никуда! - а академия при президенте? - ниКУДА!!!1111 - понятно - ... - точно?  оруу;None
2016-07-28 16:29:44;@WinDean67 в СПбГУ также, но я забила на него, слишком большой конкурс. Куда поступаешь?;None
2016-07-28 15:20:12;смотрю список людей, подавших заявление на арт-критику в спбгу. одни бабы. если поступлю, опять буду учиться в бабском коллективе.;None
2016-07-28 14:59:50;Студентка спбгу ) https://t.co/t5zMlHON6a;None
2016-07-28 14:48:02;@_oxyhemoglobin неплохо наверное хд По-моему, в СПбГУ нереально на бюджет попасть 👌;None
2016-07-28 14:47:32;Вакансии в международный отдел факультета международных отношений СпбГУ: /  / Заместитель руководителя департамен.. https://t.co/0O5JOSugOx;None
2016-07-28 13:23:07;еще обидно, что мгу такой уебанский вуз в плане отношения к абитуриентам, а спбгу котя и сайт удобный, но у них даже нет кафедры теорфизики(;None
