tdate;ttext;tgeo
2016-07-25 16:45:14;Сын Медведева без экзаменов поступил в МГУ. Конкурс был серьезный. 23 института на 1 место.;None
2016-07-25 16:20:15;Что на самом деле происходит со спутником МГУ - Наука, Космос - МК https://t.co/h9o2Q51b48;None
2016-07-25 16:12:44;Биологи СУНЦ #МГУ стали обладателями серебряных медалей международной олимпиады по биологии https://t.co/LuSFcKwrby https://t.co/JOrScqTdYH;None
2016-07-25 16:12:33;#фф В 1975—1981 годах обучался на биологическом факультете МГУ;None
2016-07-25 16:07:12;О том, что Катя не поступила в МГУ, первым узнал отец-дальнобойщик.;None
2016-07-25 16:04:13;Как поступить в МГУ;None
2016-07-25 16:02:40;RT @v_tretyakov: Последняя волна приёма документов в Высшую школу телевидения МГУ - до 10 августа В этом году приём в магистратуру... https…;None
2016-07-25 15:59:24;Кто-нить учится на жур-факе в МГУ?;None
2016-07-25 15:57:48;@tsuprikova ВШБ это помойка для тех у кого лишние деньги, должен же МГУ как-то зарабатывать);None
2016-07-25 15:48:03;Смотрите в #Periscope: 250 человек и ПРЫГАЮ В ФОНТАН У МГУ!!! https://t.co/jATj3WfoE8;None
2016-07-25 15:47:05;Из курсовой работы студента МГУ: - Электронная часть...;None
2016-07-25 15:45:45;Сколько стоит второе высшее образование в МГУ?;None
2016-07-25 15:45:41;Химики СУНЦ #МГУ успешно выступили на международной олимпиаде «Туймаада» https://t.co/8QZpks1bei https://t.co/d6WQVJKn2R;None
2016-07-25 15:44:34;Из курсовой работы студента МГУ: - Электронная часть...;None
2016-07-25 15:44:24;@tsuprikova А что никто не хочет в МГУ?;None
2016-07-25 15:43:27;Из курсовой работы студента МГУ: - Электронная часть...;None
2016-07-25 15:42:09;RT @EducationDep: «Золото» (гимназия № 1567) и 2 «серебра» (СУНЦ МГУ). Поздравляем победителей! https://t.co/5ZkXZyIyih https://t.co/NwGJto…;None
2016-07-25 15:32:20;RT @v_tretyakov: Последняя волна приёма документов в Высшую школу телевидения МГУ - до 10 августа В этом году приём в магистратуру... https…;None
2016-07-25 15:25:37;не ну скОжити мни паЦиму тут так многа ниграмотных Людий!!!Скока тирпеть это висе мне как пидагогу МГУ по рускаму язику;None
2016-07-25 15:24:54;Для тех кто учится в МГУ: как сдать экзамен Г. А. Кутьиной???;None
2016-07-25 15:21:55;Мы верим, что магистратура Высшей школы бизнеса МГУ поможет вам в развитии карьеры, достижении личных и профессиональных успехов!;None
2016-07-25 15:19:46;RT @allscience_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил... https…;None
2016-07-25 15:19:03;продолжает приходить рассылка-приглашение на магистратуру мгу (теперь уже падает в спам);None
2016-07-25 15:15:08;На #УчебаLive #Медиапонедельник журфака #МГУ. Сегодня доцент Колесниченко о том, как писать, чтобы тебя публиковали https://t.co/tsnb9yrgAg;None
2016-07-25 15:13:08;RT: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил.… https://t.co/ICtHLrtCFo;None
2016-07-25 15:09:16;RT: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил.… https://t.co/pWUOjRez8V;None
2016-07-25 15:04:58;я должна учиться тут. 😍 @ МГУ - Moscow State University https://t.co/4AZ8UnUFlA;55.7029305,37.5308609
2016-07-25 15:03:05;Ну крч оригинал я в МГУ отвез. :3 Надеюсь, пройду на химфак со своими 416-419 баллами. :D;None
2016-07-25 15:01:37;RT @kpru: Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ https://t.co/gKvixsarbc;None
2016-07-25 15:00:52;RT @kpru: Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ https://t.co/gKvixsarbc;None
2016-07-25 15:00:34;Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ https://t.co/gKvixsarbc;None
2016-07-25 14:59:16;#новости Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ  https://t.co/lE2k217XOA;None
2016-07-25 14:59:16;Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ: В мэрии назвали районы, которые больше всего потрепала непогода https://t.co/y2h3H3Pt7I;None
2016-07-25 14:59:15;Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ  #Происшествие;None
2016-07-25 14:59:15;"KP.RU Происшествия" Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ https://t.co/4IO4gyvGal #происшествия;None
2016-07-25 14:58:29;когда в сентябре будет день открытых дверей в МГУ на юридическом факультете?;None
2016-07-25 14:57:45;@Bobahnek @leon_elk Какая школа!)) Он сам преподавал на кафедре политологии МГУ им. М. В. Ломоносова, профессор факультета политологии МГИМО;None
2016-07-25 14:56:22;Выставка флоксов откроется в «Аптекарском огороде» 27 июля «27 и 28 июля в Ботаническом саду МГУ «Аптекарский огород» пройдет масштабная вы;None
2016-07-25 14:55:59;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил... https://t.co/NEYyoEMiln;None
2016-07-25 14:55:58;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил... https://t.co/2t8ltb0gpl;None
2016-07-25 14:52:26;@NataliyaTelula @LiveJournal мы были в МГУ, Баумана, МАИ, везде без говнокачелей берут на бюджетные места в рамках конкурса наравне с гр.РФ.;None
2016-07-25 14:50:17;Научный лагерь МГУ «Ланат»: лазерный тир, живая вода и #Закон Бернулли https://t.co/F7VVMCfvdi;None
2016-07-25 14:50:05;23/07 состоялось заседание Центральной приемной комиссии #МГУ https://t.co/2naLx55LLr https://t.co/fRd0Tbq8LP;None
2016-07-25 14:49:03;Ща перезвонили говорят мы знаем что у вас хороший результат в мгу;None
2016-07-25 14:39:38;а что там с проектом мк и мгу воробьевы горы мне нужно задание для 9 класса. где взять?;None
2016-07-25 14:38:04;Яндекс-Новости: Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ... https://t.co/9UwgC8fuxu;None
2016-07-25 14:38:02;RT @tranamfi83: В МГУ открылся инженерный факультет;None
2016-07-25 14:37:55;О том, что Катя не поступила в МГУ, первым узнал отец-дальнобойщик.;None
2016-07-25 14:36:54;Хочу поступить в МГУ на английский, что кто посоветует?;None
2016-07-25 14:34:00;Каждый раз, когда Гудков упоминает, что закончил журфак МГУ, стою и горжусь с:;None
2016-07-25 14:30:19;Катя Гордон рассказывает, что в МГУ на физре была в группе инвалидов, и я вспомнила нашу тренершу Бабу Лену Ягу ггг;None
2016-07-25 14:30:18;Самые «мокрые» места Москвы - МГУ, Измайлово и ВДНХ;None
2016-07-25 14:29:28;Привет народ!есть ли тут студенты МГУ или МГТУ им.Н.Э.Баумана?;None
